Date,Open,High,Low,Close
2016/04/27,0.868,0.868,0.868,0.868
2016/04/28,0.868,0.868,0.862,0.862
2016/04/29,0.856,0.856,0.856,0.856
2016/05/02,0.856,0.856,0.856,0.856
2016/05/03,0.854,0.854,0.854,0.854
2016/05/04,0.838,0.838,0.838,0.838
2016/05/05,0.84,0.84,0.84,0.84
2016/05/06,0.83,0.83,0.83,0.83
2016/05/09,0.827,0.827,0.827,0.827
2016/05/10,0.815,0.815,0.815,0.815
2016/05/11,0.815,0.815,0.796,0.796
2016/05/12,0.808,0.808,0.808,0.808
2016/05/13,0.813,0.813,0.813,0.813
2016/05/16,0.806,0.806,0.806,0.806
2016/05/17,0.83,0.83,0.83,0.83
2016/05/18,0.84,0.84,0.84,0.84
2016/05/19,0.84,0.863,0.84,0.863
2016/05/20,0.85,0.85,0.85,0.85
2016/05/23,0.843,0.843,0.843,0.843
2016/05/24,0.843,0.843,0.832,0.832
2016/05/25,0.84,0.84,0.84,0.84
2016/05/26,0.837,0.837,0.837,0.837
2016/05/27,0.823,0.823,0.823,0.823
2016/05/30,0.832,0.832,0.832,0.832
2016/05/31,0.829,0.829,0.829,0.829
2016/06/01,0.816,0.816,0.816,0.816
2016/06/02,0.817,0.817,0.817,0.817
2016/06/03,0.817,0.817,0.811,0.811
2016/06/06,0.792,0.792,0.792,0.792
2016/06/07,0.793,0.793,0.793,0.793
2016/06/08,0.789,0.789,0.789,0.789
2016/06/09,0.789,0.789,0.789,0.789
2016/06/10,0.789,0.789,0.789,0.789
2016/06/13,0.789,0.789,0.767,0.767
2016/06/14,0.768,0.768,0.768,0.768
2016/06/15,0.781,0.781,0.781,0.781
2016/06/16,0.77,0.77,0.77,0.77
2016/06/17,0.787,0.787,0.787,0.787
2016/06/20,0.791,0.791,0.791,0.791
2016/06/21,0.799,0.799,0.799,0.799
2016/06/22,0.8,0.8,0.8,0.8
2016/06/23,0.803,0.803,0.803,0.803
2016/06/24,0.803,0.803,0.758,0.758
2016/06/27,0.754,0.754,0.754,0.754
2016/06/28,0.746,0.746,0.746,0.746
2016/06/29,0.755,0.755,0.755,0.755
2016/06/30,0.756,0.756,0.756,0.756
2016/07/01,0.756,0.756,0.737,0.737
2016/07/04,0.74,0.74,0.74,0.74
2016/07/05,0.702,0.702,0.702,0.702
2016/07/06,0.702,0.702,0.673,0.673
2016/07/07,0.691,0.691,0.691,0.691
2016/07/08,0.691,0.691,0.691,0.691
2016/07/11,0.664,0.664,0.664,0.664
2016/07/12,0.674,0.674,0.674,0.674
2016/07/13,0.674,0.674,0.673,0.673
2016/07/14,0.672,0.672,0.672,0.672
2016/07/15,0.686,0.686,0.686,0.686
2016/07/18,0.678,0.678,0.678,0.678
2016/07/19,0.674,0.674,0.674,0.674
2016/07/20,0.67,0.67,0.67,0.67
2016/07/21,0.667,0.667,0.667,0.667
2016/07/22,0.667,0.667,0.664,0.664
2016/07/25,0.665,0.665,0.665,0.665
2016/07/26,0.682,0.682,0.682,0.682
2016/07/27,0.677,0.677,0.677,0.677
2016/07/28,0.674,0.674,0.674,0.674
2016/07/29,0.686,0.686,0.686,0.686
2016/08/01,0.679,0.679,0.679,0.679
2016/08/02,0.684,0.684,0.684,0.684
2016/08/03,0.689,0.689,0.689,0.689
2016/08/04,0.682,0.682,0.682,0.682
2016/08/05,0.682,0.682,0.682,0.682
2016/08/08,0.682,0.698,0.682,0.698
2016/08/09,0.698,0.698,0.698,0.698
2016/08/10,0.682,0.682,0.682,0.682
2016/08/11,0.677,0.677,0.677,0.677
2016/08/12,0.677,0.677,0.677,0.677
2016/08/15,0.675,0.675,0.675,0.675
2016/08/16,0.675,0.675,0.675,0.675
2016/08/17,0.675,0.675,0.668,0.668
2016/08/18,0.6395,0.6395,0.6081,0.6081
2016/08/19,0.6653,0.6686,0.6653,0.6686
2016/08/22,0.6825,0.6825,0.6755,0.6755
2016/08/23,0.6697,0.6724,0.6697,0.6724
2016/08/24,0.6695,0.6729,0.6695,0.6729
2016/08/25,0.6695,0.6695,0.6695,0.6695
2016/08/26,0.6693,0.6699,0.6693,0.6699
2016/08/29,0.6699,0.6714,0.6699,0.6714
2016/08/30,0.6981,0.6981,0.6869,0.6869
2016/08/31,0.6948,0.7008,0.6948,0.7008
2016/09/01,0.6974,0.7011,0.6974,0.7011
2016/09/02,0.7143,0.7143,0.704,0.704
2016/09/05,0.6981,0.6981,0.6981,0.6981
2016/09/06,0.6879,0.7019,0.6879,0.7019
2016/09/07,0.651,0.651,0.651,0.651
2016/09/08,0.651,0.655,0.651,0.655
2016/09/09,0.655,0.676,0.655,0.676
2016/09/12,0.719,0.719,0.719,0.719
2016/09/13,0.736,0.736,0.736,0.736
2016/09/14,0.744,0.744,0.744,0.744
2016/09/15,0.744,0.744,0.744,0.744
2016/09/16,0.744,0.744,0.744,0.744
2016/09/19,0.738,0.738,0.738,0.738
2016/09/20,0.738,0.738,0.731,0.731
2016/09/21,0.747,0.747,0.747,0.747
2016/09/22,0.72,0.72,0.72,0.72
2016/09/23,0.719,0.719,0.719,0.719
2016/09/26,0.726,0.726,0.726,0.726
2016/09/27,0.726,0.726,0.726,0.726
2016/09/28,0.726,0.726,0.726,0.726
2016/09/29,0.726,0.726,0.726,0.726
2016/09/30,0.715,0.715,0.715,0.715
2016/10/03,0.722,0.722,0.722,0.722
2016/10/04,0.722,0.745,0.722,0.745
2016/10/05,0.755,0.755,0.755,0.755
2016/10/06,0.751,0.751,0.751,0.751
2016/10/07,0.77,0.77,0.77,0.77
2016/10/10,0.77,0.77,0.77,0.77
2016/10/11,0.77,0.77,0.77,0.77
2016/10/12,0.783,0.783,0.783,0.783
2016/10/13,0.783,0.783,0.778,0.778
2016/10/14,0.81,0.81,0.81,0.81
2016/10/17,0.824,0.824,0.824,0.824
2016/10/18,0.9,0.9,0.9,0.9
2016/10/19,0.875,0.875,0.875,0.875
2016/10/20,0.875,0.886,0.875,0.886
2016/10/21,0.855,0.855,0.855,0.855
2016/10/24,0.879,0.879,0.879,0.879
2016/10/25,0.937,0.937,0.937,0.937
2016/10/26,0.953,0.953,0.953,0.953
2016/10/27,0.975,0.975,0.975,0.975
2016/10/28,1.02,1.02,1.02,1.02
2016/10/31,1.02,1.02,0.995,0.995
2016/11/01,0.96,0.96,0.96,0.96
2016/11/02,0.912,0.912,0.912,0.912
2016/11/03,0.923,0.923,0.923,0.923
2016/11/04,0.941,0.941,0.941,0.941
2016/11/07,0.966,0.966,0.966,0.966
2016/11/08,1.015,1.015,1.015,1.015
2016/11/09,0.952,0.952,0.952,0.952
2016/11/10,1.06,1.06,1.06,1.06
2016/11/11,1.06,1.076,1.06,1.076
2016/11/14,1.139,1.139,1.139,1.139
2016/11/15,1.196,1.196,1.196,1.196
2016/11/16,1.18,1.18,1.18,1.18
2016/11/17,1.2,1.2,1.2,1.2
2016/11/18,1.283,1.283,1.283,1.283
2016/11/21,1.41,1.41,1.41,1.41
2016/11/22,1.281,1.281,1.281,1.281
2016/11/23,1.287,1.287,1.287,1.287
2016/11/24,1.271,1.271,1.271,1.271
2016/11/25,1.26,1.26,1.26,1.26
2016/11/28,1.132,1.132,1.132,1.132
2016/11/29,1.132,1.132,1.122,1.122
2016/11/30,1.123,1.123,1.123,1.123
2016/12/01,1.203,1.203,1.203,1.203
2016/12/02,1.17,1.17,1.17,1.17
2016/12/05,1.17,1.17,1.162,1.162
2016/12/06,1.09,1.09,1.09,1.09
2016/12/07,1.09,1.09,1.07,1.07
2016/12/08,1.093,1.093,1.093,1.093
2016/12/09,1.093,1.13,1.093,1.13
2016/12/12,1.14,1.14,1.14,1.14
2016/12/13,1.151,1.151,1.151,1.151
2016/12/14,1.102,1.102,1.102,1.102
2016/12/15,1.17,1.17,1.17,1.17
2016/12/16,1.17,1.185,1.17,1.185
2016/12/19,1.185,1.185,1.185,1.185
2016/12/20,1.185,1.185,1.181,1.181
2016/12/21,1.189,1.189,1.189,1.189
2016/12/22,1.19,1.19,1.19,1.19
2016/12/23,1.19,1.27,1.19,1.27
2016/12/26,1.27,1.27,1.248,1.248
2016/12/27,1.256,1.256,1.256,1.256
2016/12/28,1.282,1.282,1.282,1.282
2016/12/29,1.241,1.241,1.241,1.241
2016/12/30,1.19,1.19,1.19,1.19
2017/01/02,1.19,1.19,1.19,1.19
2017/01/03,1.144,1.144,1.144,1.144
2017/01/04,1.12,1.12,1.12,1.12
2017/01/05,1.115,1.115,1.115,1.115
2017/01/06,1.154,1.154,1.154,1.154
2017/01/09,1.154,1.158,1.154,1.158
2017/01/10,1.158,1.158,1.156,1.156
2017/01/11,1.156,1.166,1.156,1.166
2017/01/12,1.166,1.166,1.15,1.15
2017/01/13,1.15,1.151,1.15,1.151
2017/01/16,1.151,1.161,1.151,1.161
2017/01/17,1.161,1.165,1.161,1.165
2017/01/18,1.165,1.165,1.164,1.164
2017/01/19,1.164,1.175,1.164,1.175
2017/01/20,1.175,1.175,1.174,1.174
2017/01/23,1.185,1.185,1.185,1.185
2017/01/24,1.122,1.122,1.122,1.122
2017/01/25,1.122,1.122,1.122,1.122
2017/01/26,1.122,1.122,1.122,1.122
2017/01/27,1.122,1.122,1.122,1.122
2017/01/30,1.122,1.122,1.122,1.122
2017/01/31,1.122,1.122,1.122,1.122
2017/02/01,1.122,1.122,1.122,1.122
2017/02/02,1.136,1.136,1.136,1.136
2017/02/03,1.24,1.24,1.24,1.24
2017/02/06,1.24,1.24,1.235,1.235
2017/02/07,1.195,1.195,1.195,1.195
2017/02/08,1.1671,1.1671,1.1197,1.1197
2017/02/09,1.221,1.221,1.2123,1.2123
2017/02/10,1.2034,1.2034,1.2034,1.2034
2017/02/13,1.2267,1.238,1.2267,1.238
2017/02/14,1.177,1.177,1.1564,1.171
2017/02/15,1.171,1.1714,1.171,1.1714
2017/02/16,1.1708,1.1708,1.1708,1.1708
2017/02/17,1.2323,1.2323,1.1169,1.1169
2017/02/20,1.1619,1.162,1.1619,1.1619
2017/02/21,1.162,1.162,1.1008,1.1008
2017/02/22,1.1009,1.1009,1.084,1.084
2017/02/23,1.1682,1.1682,1.1546,1.1546
2017/02/24,1.0703,1.1508,1.042,1.1508
2017/02/27,1.1507,1.1507,1.1507,1.1507
2017/02/28,1.1508,1.1508,1.1508,1.1508
2017/03/01,1.205,1.205,1.205,1.205
2017/03/02,1.2254,1.2254,1.2253,1.2253
2017/03/03,1.2254,1.2363,1.206,1.206
2017/03/06,1.141,1.141,1.141,1.141
2017/03/07,1.141,1.142,1.141,1.142
2017/03/08,1.142,1.142,1.14,1.14
2017/03/09,1.14,1.209,1.14,1.209
2017/03/10,1.209,1.215,1.209,1.215
2017/03/13,1.215,1.215,1.193,1.193
2017/03/14,1.193,1.203,1.193,1.203
2017/03/15,1.203,1.203,1.196,1.196
2017/03/16,1.196,1.196,1.116,1.116
2017/03/17,1.116,1.143,1.116,1.143
2017/03/20,1.143,1.143,1.114,1.114
2017/03/21,1.114,1.138,1.114,1.138
2017/03/22,1.138,1.138,1.133,1.133
2017/03/23,1.133,1.136,1.133,1.136
2017/03/24,1.136,1.136,1.124,1.124
2017/03/27,1.124,1.124,1.102,1.102
2017/03/28,1.102,1.102,1.096,1.096
2017/03/29,1.096,1.096,1.091,1.091
2017/03/30,1.091,1.091,1.09,1.09
2017/03/31,1.09,1.09,1.09,1.09
2017/04/03,1.09,1.09,1.09,1.09
2017/04/04,1.09,1.09,1.09,1.09
2017/04/05,1.086,1.086,1.086,1.086
2017/04/06,1.086,1.086,1.05,1.05
2017/04/07,1.05,1.055,1.05,1.055
2017/04/10,1.105,1.105,1.105,1.105
2017/04/11,1.08,1.08,1.08,1.08
2017/04/12,1.08,1.08,1.045,1.045
2017/04/13,1.045,1.045,1.019,1.019
2017/04/14,1.0,1.0,1.0,1.0
2017/04/17,1.0,1.0,1.0,1.0
2017/04/18,1.0,1.0,0.999,0.999
2017/04/19,0.995,0.995,0.995,0.995
2017/04/20,0.991,0.991,0.991,0.991
2017/04/21,0.991,1.065,0.991,1.065
2017/04/24,1.065,1.09,1.065,1.09
2017/04/25,1.085,1.085,1.085,1.085
2017/04/26,1.109,1.109,1.109,1.109
2017/04/27,1.095,1.095,1.095,1.095
2017/04/28,1.086,1.086,1.086,1.086
2017/05/01,1.086,1.086,1.086,1.086
2017/05/02,1.121,1.121,1.121,1.121
2017/05/03,1.123,1.123,1.123,1.123
2017/05/04,1.139,1.139,1.139,1.139
2017/05/05,1.141,1.141,1.141,1.141
2017/05/08,1.141,1.15,1.141,1.15
2017/05/09,1.111,1.111,1.111,1.111
2017/05/10,1.098,1.098,1.098,1.098
2017/05/11,1.1,1.1,1.1,1.1
2017/05/12,1.073,1.073,1.073,1.073
2017/05/15,1.073,1.075,1.073,1.075
2017/05/16,1.075,1.075,1.055,1.055
2017/05/17,1.055,1.069,1.055,1.069
2017/05/18,1.069,1.074,1.069,1.074
2017/05/19,1.074,1.076,1.074,1.076
2017/05/22,1.075,1.075,1.075,1.075
2017/05/23,1.075,1.075,1.056,1.056
2017/05/24,1.056,1.068,1.056,1.068
2017/05/25,1.039,1.039,1.039,1.039
2017/05/26,1.039,1.039,1.034,1.034
2017/05/29,1.036,1.036,1.036,1.036
2017/05/30,1.036,1.036,1.036,1.036
2017/05/31,1.035,1.035,1.035,1.035
2017/06/01,1.035,1.05,1.035,1.05
2017/06/02,1.05,1.05,1.05,1.05
2017/06/05,1.05,1.05,1.026,1.026
2017/06/06,1.013,1.013,1.013,1.013
2017/06/07,1.01,1.01,1.01,1.01
2017/06/08,1.01,1.023,1.01,1.023
2017/06/09,1.023,1.023,1.02,1.02
2017/06/12,1.02,1.022,1.02,1.022
2017/06/13,1.02,1.02,1.02,1.02
2017/06/14,1.02,1.07,1.02,1.07
2017/06/15,1.07,1.07,1.036,1.036
2017/06/16,1.036,1.093,1.036,1.093
2017/06/19,1.093,1.093,1.072,1.072
2017/06/20,1.072,1.088,1.072,1.088
2017/06/21,1.088,1.088,1.075,1.075
2017/06/22,1.075,1.075,1.062,1.062
2017/06/23,1.062,1.062,1.057,1.057
2017/06/26,1.057,1.057,1.038,1.038
2017/06/27,1.038,1.038,1.014,1.014
2017/06/28,1.014,1.053,1.014,1.053
2017/06/29,1.053,1.053,1.048,1.048
2017/06/30,1.048,1.079,1.048,1.079
2017/07/03,1.079,1.126,1.079,1.126
2017/07/04,1.126,1.126,1.101,1.101
2017/07/05,1.101,1.102,1.101,1.102
2017/07/06,1.102,1.102,1.08,1.08
2017/07/07,1.08,1.105,1.08,1.105
2017/07/10,1.105,1.106,1.105,1.106
2017/07/11,1.106,1.106,1.099,1.099
2017/07/12,1.099,1.099,1.076,1.076
2017/07/13,1.076,1.076,1.069,1.069
2017/07/14,1.069,1.08,1.069,1.08
2017/07/17,1.08,1.08,1.069,1.069
2017/07/18,1.069,1.069,1.065,1.065
2017/07/19,1.065,1.065,1.063,1.063
2017/07/20,1.063,1.063,1.057,1.057
2017/07/21,1.057,1.058,1.057,1.058
2017/07/24,1.058,1.058,1.049,1.049
2017/07/25,1.049,1.049,1.045,1.045
2017/07/26,1.045,1.07,1.045,1.07
2017/07/27,1.07,1.07,1.04,1.04
2017/07/28,1.04,1.041,1.04,1.041
2017/07/31,1.041,1.041,1.032,1.032
2017/08/01,1.032,1.05,1.032,1.05
2017/08/02,1.05,1.054,1.05,1.054
2017/08/03,1.054,1.054,1.04,1.04
2017/08/04,1.04,1.04,1.028,1.028
2017/08/07,1.028,1.041,1.028,1.041
2017/08/08,1.041,1.05,1.041,1.05
2017/08/09,1.05,1.05,1.042,1.042
2017/08/10,1.042,1.042,1.038,1.038
2017/08/11,1.038,1.038,1.031,1.031
2017/08/14,1.031,1.031,1.028,1.028
2017/08/15,1.028,1.046,1.028,1.046
2017/08/16,1.046,1.046,1.046,1.046
2017/08/17,1.046,1.048,1.046,1.048
2017/08/18,1.048,1.048,1.041,1.041
2017/08/21,1.041,1.041,1.041,1.041
2017/08/22,1.041,1.041,1.034,1.034
2017/08/23,1.034,1.034,1.02,1.02
2017/08/24,1.02,1.02,1.007,1.007
2017/08/25,1.007,1.012,1.007,1.012
