Date,Open,High,Low,Close
2021/04/06,368.0,566.0,368.0,507.0
2021/04/07,508.0,530.0,481.0,490.5
2021/04/08,494.0,522.0,490.0,511.0
2021/04/09,516.0,588.0,511.0,583.0
2021/04/12,578.0,612.0,570.0,607.0
2021/04/13,606.0,620.0,571.0,581.0
2021/04/14,582.0,582.0,509.0,564.0
2021/04/15,564.0,564.0,529.0,556.0
2021/04/16,550.0,560.0,545.0,548.0
2021/04/19,556.0,559.0,507.0,518.0
2021/04/20,518.0,526.0,499.0,514.0
2021/04/21,506.0,525.0,506.0,516.0
2021/04/22,518.0,528.0,490.5,495.0
2021/04/23,499.5,499.5,478.5,488.0
2021/04/26,492.0,504.0,478.0,481.5
2021/04/27,483.0,520.0,460.5,473.0
2021/04/28,475.0,496.5,470.5,486.0
2021/04/29,490.0,494.5,476.5,478.5
2021/05/03,476.5,478.5,390.5,409.5
2021/05/04,410.0,419.5,378.5,395.0
2021/05/05,385.5,401.5,385.5,392.0
2021/05/06,395.0,399.5,388.5,394.5
2021/05/07,399.5,421.5,390.5,413.5
2021/05/10,414.0,417.0,387.5,391.5
2021/05/11,386.0,394.5,353.5,354.0
2021/05/12,354.0,367.5,310.5,325.5
2021/05/13,326.0,357.0,309.0,338.5
2021/05/14,343.0,367.0,341.5,350.0
2021/05/17,349.0,357.0,319.0,343.5
2021/05/18,347.0,400.0,347.0,392.0
2021/05/19,393.5,409.5,370.0,403.0
2021/05/20,400.0,414.5,390.5,401.5
2021/05/21,402.0,419.5,400.5,409.5
2021/05/24,405.5,441.5,400.5,436.0
2021/05/25,440.0,470.0,435.0,445.0
2021/05/26,441.0,449.0,420.0,430.0
2021/05/27,430.0,432.0,400.5,421.5
2021/05/28,417.5,441.5,416.5,429.0
2021/05/31,431.0,439.5,407.5,419.5
2021/06/01,424.5,424.5,406.5,406.5
2021/06/02,410.5,411.0,396.5,400.0
2021/06/03,402.5,410.5,396.0,400.0
2021/06/04,400.0,401.5,390.5,401.5
2021/06/07,404.0,409.5,395.0,409.5
2021/06/08,409.5,421.5,403.5,417.0
2021/06/09,412.0,417.5,400.5,409.5
2021/06/10,408.5,413.0,404.5,411.0
2021/06/11,413.0,428.5,411.5,418.5
2021/06/15,422.0,448.5,417.0,447.5
2021/06/16,447.0,468.0,430.5,442.5
2021/06/17,441.0,444.5,435.0,444.0
2021/06/18,444.0,487.5,444.0,461.0
2021/06/21,458.0,460.0,440.0,448.0
2021/06/22,460.0,464.5,446.0,456.5
2021/06/23,456.5,465.0,452.0,463.0
2021/06/24,463.0,498.5,460.5,494.0
2021/06/25,494.0,509.0,489.0,493.5
2021/06/28,498.0,498.0,484.0,489.0
2021/06/29,490.0,501.0,487.0,489.0
2021/06/30,489.0,495.5,467.0,475.0
2021/07/01,470.5,484.0,468.5,470.5
2021/07/02,472.0,474.0,467.0,469.5
2021/07/05,469.0,484.0,464.5,480.0
2021/07/06,480.0,482.0,468.5,470.0
2021/07/07,473.0,473.0,460.0,471.5
2021/07/08,470.0,505.0,470.0,492.5
2021/07/09,480.0,518.0,479.5,493.0
2021/07/12,496.0,520.0,493.5,509.0
2021/07/13,512.0,529.0,494.0,497.5
2021/07/14,495.0,499.5,482.5,488.5
2021/07/15,489.0,496.0,486.0,492.5
2021/07/16,488.0,490.5,480.5,485.5
2021/07/19,485.0,486.5,477.5,482.0
2021/07/20,482.0,482.5,474.0,480.5
2021/07/21,482.0,486.5,470.5,470.5
2021/07/22,476.5,480.5,473.0,473.5
2021/07/23,476.0,476.5,469.5,473.5
2021/07/26,474.0,480.0,470.5,473.5
2021/07/27,476.5,476.5,465.0,465.5
2021/07/28,465.5,465.5,440.5,452.0
2021/07/29,455.0,465.5,450.0,463.5
2021/07/30,463.5,464.5,454.5,458.0
2021/08/02,461.0,462.5,453.0,462.0
2021/08/03,462.0,482.0,462.0,481.0
2021/08/04,484.0,494.5,475.0,481.5
2021/08/05,484.5,484.5,470.0,477.5
2021/08/06,481.0,481.0,468.5,473.5
2021/08/09,473.5,484.5,461.5,464.0
2021/08/10,464.0,466.0,458.5,464.0
2021/08/11,470.0,472.0,450.5,456.0
2021/08/12,452.5,455.0,430.5,450.0
2021/08/13,449.5,451.0,437.0,447.5
2021/08/16,443.5,450.0,437.0,437.0
2021/08/17,437.0,446.0,420.5,429.5
2021/08/18,420.5,438.5,410.5,438.5
2021/08/19,428.0,443.5,422.0,428.0
2021/08/20,428.0,431.5,420.0,429.0
2021/08/23,425.5,439.5,425.5,435.0
2021/08/24,432.0,441.5,430.5,434.5
2021/08/25,434.5,437.5,431.5,435.0
2021/08/26,435.5,439.5,432.5,432.5
2021/08/27,435.5,435.5,427.0,431.5
2021/08/30,430.0,430.0,423.0,426.5
2021/08/31,426.5,431.0,425.0,430.0
2021/09/01,430.5,470.0,430.0,449.5
2021/09/02,451.5,465.5,445.5,449.0
2021/09/03,450.0,454.5,444.5,452.5
2021/09/06,455.0,465.5,447.5,462.5
2021/09/07,455.0,462.5,439.5,452.5
2021/09/08,450.0,452.0,430.5,440.0
2021/09/09,443.0,443.5,430.5,439.0
2021/09/10,440.0,447.5,437.5,442.0
2021/09/13,442.0,442.0,436.5,439.5
2021/09/14,441.5,442.5,437.5,439.0
2021/09/15,440.0,443.0,437.0,443.0
2021/09/16,443.0,453.5,443.0,446.5
2021/09/17,446.0,446.0,440.5,446.0
2021/09/22,442.5,445.0,432.5,437.5
2021/09/23,438.5,446.5,438.5,446.5
2021/09/24,446.5,459.5,446.0,449.5
2021/09/27,448.0,449.0,442.5,444.0
2021/09/28,444.0,449.5,440.5,444.5
2021/09/29,442.5,446.5,435.5,442.0
2021/09/30,437.5,443.5,437.0,439.5
